135000	2003	Лада	2111	null	 механика	null	 152000	 левый	 ХТС. Есть магнитола МР3, газ, котел 220В, бортовой компьютер, передние электростеклоподьемники. 	 Новосибирск	11324482	30-07-2013	
167000	2004	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 125000	 левый	 63ПТС НЕ БИТАЯ НЕ КРАШЕННАЯ ВСЕ ШВЫ ЗАВОДСКИЕ ПРОБЕГ РОДНОЙ 100% 2 КОМПЛЕКТА КЛЮЧЕЙ ДВИГАТЕЛЬ 124 16 КЛАПАННЫЙ(КЛАПАНА НЕ ГНЕТ) СИГНАЛИЗАЦИЯ МУЗЫКА ЭЛЕКТРОСТЕКЛОПОДЪЕМНИКИ ТУМАНКИ автозапуск ТОНИРОВКА САЛОН ЧИСТЫЙ НОВЫЙ АККУМУЛЯТОР МАШИНА ОБСЛУЖЕНА И ГОТОВА К ЭКСПЛУАТАЦИИ ТОРГ ВОЗМОЖЕН	 Новосибирск	11297998	22-07-2013	
160000	2003	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 130000	 левый	 Авто ОТС.	 Новосибирск	11500521	20-07-2013	
198000	2007	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 77000	 левый	null	 Новосибирск	11621141	20-07-2013	
144000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 105000	 левый	null	 Новосибирск	11326406	20-07-2013	
235000	2007	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 77000	 левый	 Продам Авто в отличном состоянии . Не битая,  не крашенная - вся в родной краске . Есть музыка,  сигнализация с обратной связью ,  литьё,  передние стеклоподьёмники .  Двигатель 8 клапанный 1, 6 л.  Цвет серебристый . 235000 торг.	 Новосибирск	11157663	20-07-2013	
200000	2004	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 80000	 левый	 Отличное техническое состояние,  гаражное хранение,  летняя эксплуатация,  литые диски,  сигнализация,  магнитола. Цвет Нефиртити.	 Новосибирск	11613849	19-07-2013	
90000	2001	Лада	2111	 бензин	 механика	 передний	null	 левый	null	 Новосибирск	11605282	18-07-2013	
90000	2000	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 ВАЗ 21111 ХТС.	 Новосибирск	11221997	17-07-2013	
128000	2000	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 106000	 левый	 . 	 Новосибирск	11583485	16-07-2013	
115000	2000	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 отс	 Новосибирск	11580240	16-07-2013	
145000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 114560	 левый	null	 Новосибирск	11326309	16-07-2013	
70000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 Машинка подгнила. Подгнил стакан со стороны номера. И лопнул лонжерон. Машина полностью на ходу,  передвигаюсь каждый день. двигло масло не употребляет. Хадовка не бренчит. Машинка в обл.	 Новосибирск	11576290	16-07-2013	
