395000	2000	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 147000	 правый	 Японский вездеход на раме. Привод 2WD - 4 WD - 4 WD + пониженная,  140 л. с. Цвет - серый,  салон велюр с хорошими чехлами,  полный электропакет. Двигатель J20 рядный. Расход 9-11 л. ХТС,  бережная эксплуатация. С 4 WD проблем нет. Своевременное ТО. Сигнализация с автозапуском. Хорошая аудиоподготовка.  В РФ с 2008 г ,  25 ПТС,  1 хозяин. Резина новая. Торг у авто.	 Новосибирск	10798837	21-06-2013	
275000	1995	Suzuki	Escudo	 дизель, 2000 куб.см	 автомат	 4WD	 15000	 правый	 Настоящий рамный ВНЕДОРОЖНИК! 	 Новосибирск	11502856	12-07-2013	
710000	2008	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	8507207	23-09-2012	
114000	1989	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 проблемы с коробкой	 Новосибирск	7909504	06-08-2012	
285000	1997	Suzuki	Escudo	 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11471848	04-07-2013	
350000	1998	Suzuki	Escudo	 бензин, 2000 куб.см	null	 4WD	null	 правый	 Продам хороший рамный джип. Фото позже.	 Новосибирск	11460341	03-07-2013	
210000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11319791	08-07-2013	
220000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Двигатель 2005г. Заменена коробка. Машина в ОТС. По трассе расход 7-8 л. Масло не ест. Не дымит. Отдам в хорошие руки. Без торга!	 Новосибирск	7642136	18-08-2012	
450000	1991	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 122000	 правый	 Мотор V6 +АКПП 62.000т.р+установка 50.000 	 Новосибирск	11228646	02-07-2013	
185000	1991	Suzuki	Escudo	 бензин	 механика	 4WD	null	 правый	 кенгурин .фаркоп.танковые фары.инжектор.коробка 5ст.бензин- газ.очень экономично ездить по трассе 100км- 135рублей.шипованая резина бридж второй сезон очень хорошее состояние.в придачу к машине новые тормозные колодки задние . фильтр бензин масло.ну и есче мелочи . продается в связи с покупкой машины на автомате для жены(в семье две вд машины на механике ранимое женское сердце не может выносить такую не справедливость ).небольшой торг возле машины.во время моего владения 2.5 года машина не билась и не красилась.	 Новосибирск	10463653	31-03-2013	
310000	1997	Suzuki	Escudo	 дизель, 2000 куб.см	 автомат	 4WD	 265000	 правый	 Хороший рамный внедорожник с подключаемым передним приводом и пониженной передачей. 2 хозяина,  ХТС. Экономичный маздовский турбодизель 90 л. с. ,  расход 10 л,  интеркулер. Салон велюр,  ABS,  новая АКБ,  фаркоп,  магнитола 2 DIN,  электростекла и электрозеркала,  сигнализация с автозапуском, реальный пробег. Сделан полный ремонт подвески,  замена ГРМ и всех расходников. Гаражное хранение. В ДТП не участвовал.	 Новосибирск	10895598	11-06-2013	
380000	1998	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 245000	 правый	 Очень надежный рамный внедорожник с отличной проходимостью. Коробка и двигатель в отличном техническом состоянии. Заменены все жидкости,  цепь грм. Вложений не требует. Новая грязевая резина . Возможен обмен на Toyota Harrier или Nissan x-trale. Все вопросы по телефону. Торг. 25 птс 2 хозяин перешит салон	 Новосибирск	11309971	19-06-2013	
540000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 После небольшого дтп. 	 Новосибирск	10745692	19-06-2013	
640000	2005	Suzuki	Escudo	 бензин, 2700 куб.см	 автомат	 4WD	 72896	 правый	null	 Новосибирск	8188473	08-08-2012	
160000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 СРОЧНО продам подготовленный автомобиль! Обмен не предлагать. ВСЕ ВОПРОСЫ ПО ТЕЛЕФОНУ	 Новосибирск	11094359	13-06-2013	
199000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 механика	 4WD	null	 правый	 ХТС, Продам срочно!!!! Без торга.	 Новосибирск	7933603	13-07-2012	
600000	2005	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 Базовая комплектация; Все ОПЦИИ .	 Новосибирск	8054973	13-07-2012	
615000	2006	Suzuki	Escudo	 бензин, 2700 куб.см	 автомат	 4WD	 79000	 правый	 Один хозяин в России. Не битый.  Срочно.	 Новосибирск	11438034	01-07-2013	
257000	1995	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 в РФ с 2001 года,  ОТС,  пэп,  мр- з,  USB,  АВТОЗАПУСК,  обр/связь (обмены предлагайте по телефону)	 Новосибирск	11140949	01-07-2013	
325000	1995	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 ОТС, резина лето+зима(новая), 25 птс!сделан кап.ремонт двигателя!подогрев сидений, сделан Антикор по кузову!торг! 	 Новосибирск	11307546	18-06-2013	
300000	1996	Suzuki	Escudo	 дизель, 2000 куб.см	 автомат	 4WD	 250000	 правый	 Продам эскудо,  25 птс,  один хозяин,  турбо дизель,  кулер,  сигнализация с таймером,  зима литьё 16,  лето штамповка 16. мех. хабы.	 Новосибирск	11386807	26-06-2013	
440000	1999	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 195000	 правый	 Продам Сузуки Эскудо 1999 г. в. объём 2, 0 л. , АКПП, 4WD (2H, 4H, 4L) самая богатая комплектация на момент выпуска авто (ПЭП: ABS, 2 подушки безопасности, зеркала с подогревом и эл. регулировкой, компас, температура за бортом…) 	 Новосибирск	10606689	12-06-2013	
200000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 300000	 правый	null	 Новосибирск	11515257	09-07-2013	
80000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Продам Suzuki Escudo после аварии. Не на ходу. Смотреть в калининском районе. Торг при осмотре.	 Новосибирск	9157408	08-11-2012	
80000	1992	Suzuki	Escudo	 бензин, 1600 куб.см	 механика	 4WD	 160000	 правый	 Внимание! Авто без документов, совсем без документов! На ходу. Достойное состояние для своего года. Обмен по тел. 913-788-44-55	 Новосибирск	8278944	28-08-2012	
375000	1998	Suzuki	Escudo	 бензин, 2500 куб.см	 автомат	 4WD	 160000	 правый	 Продам надежную машину в спортивной версии V6 special. Требуется покраска бамперов.Стекла все родные. На обмен цена 450000. Предпочтение отдам грузовику двухкабиннику.	 Новосибирск	11408823	12-07-2013	
200000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11325137	26-06-2013	
