178000	1995	Toyota	Caldina	 2000 куб.см	 автомат	 4WD	null	 правый	 Продам калдину- вездеход в 195ом. кузове. Комплектация TZ ,  дисковые тормоза вкруг. Движок 3S- простой (тянет как надо). Акпп- режимная (блокировка с кнопки). Стекла родные,  салон весь родной без косяков. Кузов ровный. Сигналка старлайн В9 со всеми функциями. Литье R14 с японской резиной+ зимняя (шипы) на литье (один) сезон. Музыка SONY все форматы.Торг.	 Новосибирск	11204565	08-06-2013	
170000	1995	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	null	null	 правый	null	 Новосибирск	11024408	08-06-2013	
175000	1994	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 люк, двигатель контрактный, отс вд с кнопки. срочно!!!	 Новосибирск	11126248	08-06-2013	
178000	1994	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 Хорошее техническое состояние. Все стекла родные включая лобовик. Машина не битая. Двигатель коробка ходовка в идеальном состоянии.	 Новосибирск	11079834	09-06-2013	
210000	1994	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Калдинка в очень достойном состоянии для своих лет! ! ! 25 таможенный ПТС с 2005г. в одних руках! ! ! Двигатель шепчет масло ни грамма не берет 100%, коробка идеальная без пинков и толчков. Ходовая часть без нареканий все всегда меняли вовремя! ! ! Все стекла родные включая лобовое. Кузов в достойном состоянии рамка под капотом номерная, задняя часть целая везде заводской герметик, бока ровные. Естевственно присутсвуют сколы от камней. Кондиционер в рабочем состоянии! ! ! Салон в достойном состоянии не затертый, не прокуренный! ! ! Имеется люк установлен заводом, комплектация очень хорошая! ! ! Музыка PIONEEER с USB и DVD, сигнализация простая открыть- закрыть, автосвет, стандартное не убиваемое литье, резина летняя в хорошем состоянии, задние тормоза дисковые! ! ! Авто вложений не требует! ! ! Машин в таком состоянии осталось единицы! ! ! Если вы ищите для себя реально живую калду это ваш вариант! ! ! Товарищи автобизнеснемы не стоит- общего языка мы точно не найдем! ! ! Реальному покупателю торг будит возле авто! ! !Машина в Болотном.	 Новосибирск	11136026	09-06-2013	
285000	1998	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 суперовый салон! стаит газ бензин ДВИГАТЕЛЬ 3-S ХОРОШАЯ РЕЗИНА, ХОДОВКА отличная звоните в любое время торг	 Новосибирск	11216844	09-06-2013	
260000	1999	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 Пробег 337000 км, на 300000 замена двигателя(с пробегом 40000 км), комплектация GT,  двигатель 190 л/с, по ПТС 136 л/с. В России с 2008 г. ,  один хозяин,  ПТС 25 региона. Заменены ГРМ,  свечи, масла, стойки и пружины в круг. Торг . Звонить с 9-19.Без обмена.	 Новосибирск	11218371	09-06-2013	
265000	1997	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 205999	 правый	 Авто в хорошем состоянии двс без нареканий масло от замены до замены,  кокоба в порядке не пинаеться, сига с запуском литье полный электро пакет,  понорамный электро люк, подогрев зеркал, кандер заправлен,  25 птс 3 хозяин,  тв двд усб,  варианты обмена на газель термос,  тэнт. Перекупы мимо! ! ! торг торг торг! ! ! авто в области г. Барабинск! ! !	 Новосибирск	11145419	10-06-2013	
190000	1996	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 355000	 правый	 Все вопросы по тел, срочная продажа, торг! ! !	 Новосибирск	11224659	10-06-2013	
215000	1996	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 Автомобиль в хорошем состоянии,  контрактный двигатель(3S- GE) и АКПП,  Дата выпуска- 12. 1996. кузов ST 195. Поменял все ступицы,  колодки. В машине все исправно работает. Есть сколы, царапины. Панорамный электро люк. магнитола с DVD,  сигнализация с авто запуском. Обмена нет.	 Новосибирск	11195734	10-06-2013	
275000	1998	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 Автомобиль в хорошем состоянии. 25 ПТС,  я второй хозяин. Владею машиной четыре года. Остальные вопросы по телефону. Продажа в связи с покупкой нового автомобиля. Торг только при осмотре.	 Новосибирск	11230824	10-06-2013	
165000	1999	Toyota	Caldina	 бензин	 автомат	 передний	null	 правый	 Звоните расскажу. 	 Новосибирск	11213259	09-06-2013	
600000	2007	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 73000	 правый	 Toyota Caldina 2007 г. в. Не конструктор.Не распил, Машина аукционная 4,  5 балла , привезена автовозом 12.01.2013, 25 птс, один хозяин, ПОЛНАЯ ПОШЛИНА. ТАМОЖНЯ (поэтому и цена такая),  утилизационный сбор оплачен,  Авто в идеальном состоянии. Цвет серебристый металлик; чёрный салон; кожаный руль и рукоятка кпп,  мраморные вставки на панели и дверях ; музыка читает все форматы; полка в багажнике; литьё R15. Туманки. Ветровики, мухобойка, реснички, подогрев зеркал, отделка сидений - мокрая кожа,  Заводская тонировка. Экономичная. Автомат простой (не вариатор) надежный ,  snow- режим,  километраж не скручен, новая зимняя резина Yokohama, надежный и экономичный двигатель 1ZZ- FE (132л. с. ), задняя подвеска - двойные рычаги, тормоза (передние и задние) - дисковые, масло новое Mobil синтетика,  новый антифриз на - 50(в японии был залит до - 20), любые диагностики за ваш счет, датчик света,  крепление детского кресла ISOFIX,  стоит сигнализация STARLINE A91 с диалоговым кодом, машина на транзитах готова к оформлению.	 Новосибирск	10006475	15-02-2013	
577000	2007	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	9863385	23-02-2013	
555000	2007	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 113000	 правый	 Отличный авто на каждый день,  расход топлива 9- 10 л/100км в городе.	 Новосибирск	10304454	16-03-2013	
580000	2008	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 45000	 правый	null	 Новосибирск	4474716	15-01-2011	
800000	2011	Toyota	Caldina	 бензин, 3500 куб.см	 автомат	 4WD	 10000	 правый	null	null	4661524	23-02-2011	
295000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 140000	 правый	 Автомобиль, для своих лет в достойном состоянии, все то проводились своевременно , кузов ровны, не перекрашенный , подкрашивался только передний бампер.	 Новосибирск	11123312	04-06-2013	
290000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 192000	 правый	 Продам Калдину в хорошем состоянии,  комплектация G,  двигатель 3S- FE,  тонировка,  литьё + комплект зимней резины на дисках,  сигнализация TOMAHAWK. Цвет - белый металлик. Вложений не требует. Торг уместен.	 Новосибирск	11191162	07-06-2013	
220000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 273000	 правый	 ОТЛИЧНОЕ СОСТОЯНИЕ ДЛЯ СВОЕГО ГОДА! ! ! 	 Новосибирск	11121017	07-06-2013	
295000	2000	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 161000	 правый	 25 птс с 2007г в РФ. 2 хозяина. АВТО в отличном тех. состоянии . Все узлы и агрегаты работают без нареканий. Вложений не требует. Торг приветствуется только при осмотре авто. Обмен не желателен.	 Новосибирск	11226981	10-06-2013	
325000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 190000	 правый	 Отличная семейная машина. 25 ПТС. 	 Новосибирск	11227171	10-06-2013	
275000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 ХТС. ЦВЕТ СЕРЕБРО. СИГНАЛИЗАЦИЯ С ОБР. СВЯЗЬЮ. АВТОЗАПУСК. МУЗЫКА. КОМПЛЕКТАЦИЯ G. ЛИТЫЕ ДИСКИ. ПОД КАПОТОМ ВСЕ ЦЕЛОЕ И РОДНОЕ. РАМКА НОМЕРНАЯ. ДВИГОТЕЛЬ НЕ ДЫМИТ НЕ САПУНИТ.КОНДИЦИОНЕР РАБОТАЕТ.  КОРОБКА ПЕРЕКЛЮЧАЕТ НОРМАЛЬНО. ХОДОВКА ЦЕЛАЯ. ОБМЕН. НА ОБМЕН МАШИНА СТОИТ ДОРОЖИ.	 Новосибирск	11227321	10-06-2013	
355000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 ОТС	 Новосибирск	11237100	11-06-2013	
270000	2001	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 158000	 правый	 СРОЧНО! ! ! ОБМЕН НЕ ПРЕДЛАГАТЬ! ! ! ! ! ПТС 25. По кузову ровная. ТОРГ!!!	 Новосибирск	11214266	09-06-2013	
315000	2001	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	null	 Новосибирск	11218237	09-06-2013	
220000	2001	Toyota	Caldina	 бензин, 1500 куб.см	 автомат	 передний	null	 правый	 Продам надежный экономичный автомобиль. 	 Новосибирск	11052143	11-06-2013	
295000	2001	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Продам Тойота Калдина объем 2.0, 3s двигатель 2001 года выпуска с одним хозяином, ПТС 25 оригинал. Авто в хорошем состоянии двигатель,  коробка,  ходовая без проблем. Машина белого цвета в заводском обвесе,  климат контроль,  парктроники,  противотуманки (галоген),  фары ксенон. Звоните все расскажу более подробней.	 Новосибирск	11132355	11-06-2013	
335000	2002	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 193000	 правый	 Родной 25 ПТС один хозяин! ! ! В России с 2007г Максимальная комплектация G- Twister Японский ксенон и обвес. Все работает. Салон черный в отличном состоянии,  чехлы для детей. Реальный пробег. Небольшой торг,  но только у машины! ! ! ОБМЕНА НЕТ!!!	 Новосибирск	11134467	06-06-2013	
190000	2002	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 135000	 правый	 машина на ходу после дтп подробнее по телефону	 Новосибирск	11219522	10-06-2013	
340000	2002	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 Написать можно всё,  что угодно. . . . . . . . Лучше приехать и посмотреть! Фото будут позже.	 Новосибирск	11238054	11-06-2013	
400000	2003	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 190000	 правый	 Отличное техническое состояние есть пара незначительных коцок по кузову,  салон чистый,  двигатель,  ходовка,  коробка в хорошем состоянии. Я третий хозяин. Все масла и расходники поменяны. Все стёкла родные,  включая лобовое. Есть подогрев двигателя и сидений.Реальному покупателю скидка!Рассматриваю варианты обмена(желательно на Toyota Corolla Fielder)	 Новосибирск	11206881	08-06-2013	
149000	1993	Toyota	Caldina	 бензин, 1500 куб.см	 автомат	 передний	null	 правый	 СДАМ В АРЕНДУ ВОЗМОЖНО ПОД ОТКАТ. МАШИНА ХТС. . .	 Новосибирск	11202172	08-06-2013	
162000	1993	Toyota	Caldina	 1800 куб.см	null	null	null	null	 белый 	 Новосибирск	1236817	28-04-2007	
157000	1993	Toyota	Caldina	 2000 куб.см	null	null	null	null	 чёрный 	 Новосибирск	1236816	28-04-2007	
310000	2000	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 Машина в ХТС. В глобальных авариях не участвовала. Мотор,  коробка,  салон в ИТС.  Стоит сигнализация с обратной связью и автозапуском. DVD,  Mp3. Задняя полка. Стольная защита картера. Торг у машины. Обмен на микроавтобус или левый руль с ВАШЕЙ доплатой	 Новосибирск	11013795	08-06-2013	
